,urun_ismi,urun_yeni_fiyat,urun_eski_fiyat,urun_satici,satici_pts,indirim_orani,recom
0,"Apple Iphone 4, 4S, 5, 5S, 6, 6S, 6 Plus, 6S Plus Batarya + SET",51.2,126.38,muhtesempazar,100.0,147.0,RECOMMENDED
1,İphone 6 Orjinal Batarya Pil,84.0,180.0,ROUTEGROUP,100.0,114.0,RECOMMENDED
2,APPLE İPHONE 6 ÖN KAMERA VE SENSOR FİLM SERVİS ÜRÜNÜ TAM KALİTE,49.9,99.9,bulvartelefon2017,100.0,100.0,RECOMMENDED
3,Iphone 6 Batarya Pil AA++ Kalite Tamir Seti ve Bant,89.9,149.9,AKEKIO.TR,100.0,67.0,RECOMMENDED
4,Iphone 6S Batarya Pil AA++ Kalite Tamir Seti ve Bant,89.9,149.9,AKEKIO.TR,100.0,67.0,RECOMMENDED
5,Iphone 6 Plus Siyah Lcd Ekran+Dokunmatik,169.9,279.9,AKEKIO.TR,100.0,65.0,RECOMMENDED
6,Iphone 6s Beyaz Lcd Ekran + Dokunmatik,163.09,250.9,AKEKIO.TR,100.0,54.0,RECOMMENDED
7,Iphone 6s Siyah Lcd Ekran + Dokunmatik,159.84,245.9,AKEKIO.TR,100.0,54.0,RECOMMENDED
8,Iphone 6s Plus Beyaz Lcd Ekran+Dokunmatik,185.9,279.9,AKEKIO.TR,100.0,51.0,RECOMMENDED
9,Iphone 6 Beyaz Lcd Ekran+Dokunmatik,149.9,215.9,AKEKIO.TR,100.0,44.0,RECOMMENDED
10,Iphone 6 Siyah Lcd Ekran+Dokunmatik,149.9,215.9,AKEKIO.TR,100.0,44.0,RECOMMENDED
11,MUCİZE BATARYA DEJi İPHONE 6 (2516 mAh),118.99,159.99,MMYTEKNOMARK-ET,100.0,34.0,RECOMMENDED
12,Apple iPhone 6s Lcd Ekran Dokunmatik A Kalite,173.7,221.4,worldteknik,93.0,27.0,NOT RECOMMEND
13,iphone 6S Batarya MUCİZE BATARYA DEJi Orjinal mAh Kapasiteli,109.8,129.8,Deji,100.0,18.0,RECOMMENDED
14,iPhone 6 Batarya MUCİZE BATARYA DEJi - Orjinal Kapasiteli,109.8,129.8,Deji,100.0,18.0,RECOMMENDED
15,iphone 6S Plus Batarya MUCİZE BATARYA DEJi Orjinal Kapasiteli,119.8,139.8,Deji,100.0,17.0,RECOMMENDED
16,iphone 6 Plus Batarya Mucize Batarya DEJi Orjinal Deji,119.8,139.8,Deji,100.0,17.0,RECOMMENDED
17,iphone 6S Batarya MUCİZE BATARYA DEJi (2300 mAh) Orjinal Deji,129.8,149.8,Deji,100.0,15.0,RECOMMENDED
18,iphone 6 Batarya MUCİZE BATARYA DEJi (2510 mAh Kapasite),129.8,149.8,Deji,100.0,15.0,RECOMMENDED
19,iphone 6 Plus Batarya Mucize Batarya DEJi (3680 mAh) Orjinal Deji,139.8,159.8,Deji,100.0,14.0,RECOMMENDED
20,iphone 6S PLUS Batarya MUCİZE BATARYA DEJi 3680 mAh- Orjinal Deji,139.8,159.8,Deji,100.0,14.0,RECOMMENDED
21,İPHONE 4-5-6-7-8-X-S-PLUS LCD Dokunmatik Ekran TAMİR SETİ HEDİYE,108.08,118.08,worldteknik,93.0,9.0,NOT RECOMMEND
22,Apple İphone 6 Ekran Lcd Dokunmatik,148.9,158.9,DMNstok,100.0,7.0,RECOMMENDED
23,Apple iPhone 6S Batarya Pil Orjinal (TAMİR SETİ),88.99,88.99,Tokgöziletişim,91.0,0.0,NOT RECOMMEND
24,İphone 6 Batarya A Kalite + Tamir Seti Hediyeli,64.75,64.75,TECHCELL,92.0,0.0,NOT RECOMMEND
25,İphone 6 Lcd Ekran dokunmatik LW (Montaj Seti),154.84,154.84,Tokgöziletişim,91.0,0.0,NOT RECOMMEND
26,Apple İphone 6S Ekran Lcd Dokunmatik,169.9,169.9,DMNstok,100.0,0.0,RECOMMENDED
27,iPhone 6 Home Tuşu Touch id Flex Sensör,36.9,36.9,DMNstok,100.0,0.0,RECOMMENDED
